"","merged_dataA[, 1]"
"PRSS23",7.65102328578184
"GZMH",6.9846190836986
"BRD8",6.34088573772846
"CHN2",6.46419518055566
"MSX2",5.62657209584291
"DTYMK",6.05406528099346
"KDM5A",7.10311722058727
"TMSB10",10.8359820267315
"PET112",6.93903900931124
"CD47",6.54210500279325
"NEUROD2",5.97712275950335
"CREB5 /// LOC401317",6.41660655430762
"FARP2",7.60564919667745
"ATP5S",4.93795980056264
"KIAA0556",6.18943728931884
"JUNB",6.52428248278619
"RHBDF1",7.44759925216582
"CDK2",7.23886194927896
"VCL",7.68835494388543
"TP53I3",7.55794579645892
"TUBA3C /// TUBA3D",7.75945525565808
"EWSR1",9.40425210900682
"TGFBR3",6.85541534414179
"NOV",6.49838180674307
"FARSA",7.16645621154157
"KIR3DL1 /// KIR3DL2",6.26438756983662
"USP46",6.23225697764519
"VPS9D1",7.32633431421061
"TESK1",6.65388383015628
"HDAC9",4.7936770198317
"PVR",6.69246949232394
"AP3B2",7.41865804487281
"SFSWAP",7.01002029105986
"CD84",6.08914083827471
"IRF5",7.30773706298826
"PML",6.73934056889478
"PLAU",7.36431050387846
"MTHFR",7.34109940093896
"MVP",8.60727375650847
"ZNF160",6.48692752446449
"SKIV2L",7.91241479381397
"NIT1",7.77179744769548
"GBP2",8.10740568784475
"CD58",6.576296112727
"ALPL",7.45999602859109
"ANKRD28",4.99681986468441
"MTUS1",5.93790622723519
"PHF8",5.9196690734216
"MAPK3",8.76852822174818
"TRAFD1",7.45908599339235
"WNK1",7.52684464403014
"IL1B",7.01517376398011
"CA5B",5.96840312770363
"STIM1",7.38958060577439
"SETBP1",6.83547518676593
"TNIK",7.6389051100527
"SEC14L1",7.45374009745643
"TRAK1",6.7025776211209
"PTP4A3",8.29212773359476
"GNB2",10.0530647253565
"SFPQ",7.13288678944758
"PIK3C2A",4.72776604753372
"SIRPA",7.16967941140085
"PLXNA2",6.87852667575649
"PTPN4",7.50498448572553
"LINC01278",6.64819659683228
"GRB7",8.81886497729861
"HLA-DQB1",6.8939244619454
"KDM5C",6.82644532044731
"MAPK1",7.04100455519713
"KCNAB1",5.34924377253426
"KRT76",6.50609699952457
"STK24",8.21668704550167
"ACOT8",6.47901041440743
"ATF7",6.6167491191236
"PVRL2",7.28503489265108
"ZNF132",5.88256691109561
"GNRH1",6.99119070407045
"IGKC",6.75197761597561
"DDX27",7.18028185825271
"ADAM8",7.17369541592792
"LRRC23",5.6477556767071
"KLF9",7.38104856986596
"TIMM8A",4.13843670748254
"SSX2IP",6.02947685521824
"CDK19",8.21711139633247
"IQGAP1",9.41650948599559
"ATP6V0B",9.49560024144448
