"","merged_dataP[, 1]"
"TMED7 /// TMED7-TICAM2",7.7877874829142
"CANX",10.26148926428
"LCP2",5.38985547254519
"WARS2",5.8752732949173
"GPBP1L1",8.97671260130339
"RFK",7.13837642865251
"USP53",5.36296598617894
"APOBEC3F /// APOBEC3G",5.09438151353118
"GOLPH3",7.59484151055909
"PANK2",6.82830549581561
"EFCAB14",8.00899770974147
"CD44",5.7028941480524
"SKP1",9.94940213267654
"HCCS",6.02764942010462
"ADAM15",4.86360198495308
"NIPAL2",4.42701267614903
"SLC2A9",5.42496472875777
"TIA1",6.82290148135379
"CLK4",7.49181543951707
"TMEM230",10.197149122493
"NLRP2",3.00987478100446
"MED4",5.92582618221691
"B4GALT1",4.28315277030832
"FAM198B",4.24850720417023
"LSM6",7.01142934929309
"AP1S2",7.17743062211798
"EDEM3",7.29267260552985
"CREBL2",8.85647821344425
"GOSR2",6.44205860409432
"CD86",4.72076655132269
"CAPN15",3.79601069026044
"EIF1AX",7.41834304697517
"CLIC4",7.7857452089519
"THOC7",7.9365941767406
"CLDND1",3.61483036269806
"PCNP",4.9349491457758
"NXT2",6.12354300031108
"SAYSD1",5.65863123411636
"NOP10",9.53679723225287
"QSER1",6.00553446159196
"HMGN4",8.33732377492217
"PIGC",5.49168631558933
"LSR",5.03507682500751
"LPGAT1",5.11427808061862
"NASP",7.5373527642659
"NSD1",5.65539383629556
"ATP5O",9.46525115348678
"SLC25A40",5.2820219799676
"PROSC",8.75881079832138
"MUM1",7.3668839757141
"OPN3",6.82156271949371
"TRAK1",7.04199221824269
"SOWAHC",4.03629430599101
"USP32 /// USP6",3.80954267798034
"MAPK8IP2",4.00843531581565
"SRD5A3",4.93633738614305
"ZNF672",6.18426203225324
"SPCS3",8.77485067519894
"MEAF6",5.99217496747441
"EPM2A",6.41716548191834
"TUBG1",5.15262864556477
"SWAP70",3.53709393656402
"DPY19L1",3.6357118201854
"PSKH1",4.34382424964117
"KYNU",3.45611358476001
"LYPLA1",8.30480232661889
"CD2BP2",7.00268928447066
"MTRF1",5.20291027786581
"SAR1B",7.63417178048687
"SZRD1",8.54727712750569
"EIF2B2",7.26248947859035
"NDE1",4.06244160958595
"CARS",6.5115216352579
"C12orf5",5.68557818661728
"NR4A1",4.77534191277776
"C4orf29",6.83395198161175
"POLR2L",8.79658411450307
"HS2ST1",5.83928652995727
"CCNI",9.7109511439503
"FBXO28",5.98663488822211
"PRPF18",5.07042051609842
"KIAA1598",7.5209172852726
"LAMTOR2",7.55327502199321
"HMBOX1",5.27743827927501
"ZNF8",5.6318175240155
"CCDC15",3.36262814344834
"SLC7A6",4.94843333841341
"DDA1",5.63511336665855
"WIPI2",7.09054228561191
"PSMD10",7.2318087390504
"ZMAT3",4.99912753101055
"SPCS2",8.45981306971992
"SLC25A37",8.57474877220937
"TINF2",7.01980465843143
"ZNF20 /// ZNF625-ZNF20",5.18645154839456
"PIGK",7.23383572665442
"EPS15L1",5.99672889365699
"EMP3",8.52960893681293
"TMED2",6.33005917436951
"KDELR2",9.19132526041373
"APOBEC3G",6.30708096794003
"TMEM258",9.03230864241783
"GTF2H1",7.29649195426445
"NBN",8.0016009803495
"CHCHD2",9.85237520980692
"GLRX2",6.97872134458104
"SMIM7",7.88088505868719
"CCR1",6.69502001052923
"DIAPH2",4.49360944813591
"UBE2K",7.03774534689113
"FBXW2",7.96208365519509
"KLHL24",8.05710845676959
"SFT2D3 /// WDR33",7.08503604707615
"PSPC1",5.92693202215313
"GPD2",4.91211670910588
"DNM1L",8.12512466276854
"ADRBK2",4.78748767108463
"EIF4E",6.97649686099642
"MRPS16",7.63268453431148
"SLC20A2",6.3020429187851
"TES",4.26154706294662
"VCP",6.53585932516618
"SEC23IP",5.86557545092526
"EFCAB11",3.64674336668639
"ZMIZ2",4.65969428179628
"RBPJ",3.65142712149591
"YIPF2",7.51579030751881
"OGT",7.36164441635904
"ARMC8",5.72171091233149
"CEP350",6.08344906153686
"TM2D1",6.24320217732769
"TPI1",8.06227820836265
"ATP2A3",5.33827315123736
"SUCLG2",7.08950134297142
"PDE2A",4.74716888901396
"SRD5A1",4.77103982043128
"CFL1",9.13828135583896
"XRCC1",6.6124574498648
"POLR2J",9.46532940780605
"FAM63B",5.75652037142685
"ADI1",9.46562914978094
"BRAF /// KIAA1549",6.08183958863118
"STK17B",3.80772831377304
"KIR2DL4",4.93720662566312
"LRRC61",4.48738033867169
"DENND4A",4.93874128196171
"KDM4A",5.58258845117053
"CTSC",6.79257646106726
"FAM127B",4.80780929865397
"STRN",6.6118925870812
"NRAS",7.21653548287613
"LOC100506403 /// LOC101928269 /// RUNX1",5.9645782491049
"CRIP1",8.74298641039022
"VASH1",5.895137285691
"POLH",4.40865660973693
"PTP4A1",7.78778851090799
"MAN2A2",7.07459764822264
"SPATA20",7.81337759417042
"ANK3",6.92930300080681
"GRHPR",9.73672989766647
"SEPT2",9.81579282415765
"RBM15",6.28804670674022
"POMT2",5.73102555653805
"CCDC53",8.22955426313315
"ANP32B",8.76558357749894
